商品コード,仕様コード,内容
10115,9,幅×高さ×マチ 約38×70×33cm<br>(ハンドルを伸ばした際の高さ 98cm)
10117,0,"バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
"
10117,33,ファスナーポケット 1<br>ポケット 1
10117,34,キーリング 1
10117,6,米国
10117,9,幅×高さ×マチ 約11.5×11×0.5cm
10119,0,コーデュラナイロン
10119,33,ファスナーポケット 1<br>その内側にポケット 2<br>サイドポケット 2
10119,34,着脱式キーホルダー 1<br>ファスナー式ポケット 1<br>ボタン式ポケット 1<br>ポケット 2
10119,6,米国
10119,9,幅×高さ×マチ 約32×38×18cm
10120,0,コーデュラナイロン
10120,34,着脱式キーホルダー 1<br>ファスナー式ポケット 1
10120,6,米国
10120,9,幅×高さ×マチ 約31×12×6cm
10121,0,コーデュラナイロン
10121,35,前面ファスナーポケット1<br>その内側にポケット2 着脱式キーホルダー1<br>背面ファスナーポケット1<br>サイドポケット2
10121,36,ポケット2
10121,6,英国
10121,9,幅×高さ×マチ 約43×28×14cm
10122,0,コーデュラナイロン
10122,33,ファスナーポケット 1<br>その内側にポケット 2  着脱式キーホルダー 1<br>サイドポケット 2
10122,34,ファスナー式ポケット 1<br>ポケット 1
10122,6,米国
10122,9,幅×高さ×マチ 約33×42×14cm
10123,0,バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
10123,6,米国
10123,9,幅:約9.5cm<br />高さ:(高い方)約17.5cm (低い方)約14.5cm<br />マチ:約1cm
10124,0,バリスティックナイロン
10124,33,ファスナー式ポケット1<br>ボタン式ポケット1
10124,36,ポケット3<br>ペン挿し2<br>着脱式キーホルダー1
10124,6,米国
10124,9,幅×高さ×マチ 約23×27×10cm
10125,0,バリスティックナイロン
10125,33,ファスナー式ポケット2<br>ボタン式ポケット2<br>ファスナー式シューズポケット1
10125,34,ファスナー式ポケット1<br>ポケット2<br>着脱式キーホルダー1
10125,6,米国
10125,9,幅×高さ×マチ 約54×29×15cm
10126,0,コーデュラナイロン
10126,33,前面:ファスナー式ポケット2<br>その内側に着脱式キーホルダー1<br>背面:ファスナー式ポケット1
10126,36,大型ポケット2<br>ポケット3<br>ペン挿し2<br>カード入れ4
10126,6,米国
10126,9,幅×高さ×マチ 約29×18.5×4.5cm
10131,0,バリスティックナイロン
10131,33,ファスナー式ポケット1
10131,6,米国
10131,9,幅×高さ×マチ:32×34×12cm
10132,0,コーデュラナイロン
10132,33,ファスナー式ポケット1<br>その内側に着脱式キーホルダー1<br>ボタン式ポケット1
10132,36,ファスナー式ポケット1<br>ポケット2<br>ペン挿し2
10132,6,米国
10132,9,幅×高さ×マチ 約18×26×5cm
10148,0,牛革 スムースレザー Venacalf
10148,11,重さ約1.2kg
10148,34,外側 ジッパー付ポケット 1<br>内側 ジッパー付ポケット 1
10148,4,シャンボール布袋
10148,48,CH.513
10148,6,フランス
10148,9,幅×高さ×マチ 約40×30×12cm<br>(ハンドルを除く本体)
10222,0,アッパー:スウェード<br>ソール:シングルレザーソール(牛革)
10222,12,ワイズ E<br>ラスト224
10222,15,グッドイヤーウェルテッド製法
10222,4,保存用布袋
10222,48,CHERTSEY/1645
10222,6,英国
10223,0,馬毛
10223,9,縦×横×高さ 約5cm×17.5cm×4cm
10278,0,シルク100%
10278,5,ドライクリーニング
10278,6,日本
10278,9,大剣:8.5cm<br />小剣:4cm<br />長さ:143cm
10373,0,カーフ
10373,12,カード入れ 6<br>札入れ 2<br>コインケース 1
10373,6,日本
10373,9,縦×横 約9.5×19cm
10381,0,表:リザード<br>内張り:カーフ
10381,12,カード入れ 2<br>札入れ 1
10381,6,日本
10381,9,縦×横 約8.8×18.5cm
10383,0,カーフ
10383,12,キーハンガー 5
10383,6,日本
10383,9,縦×横 約10×6cm
10384,0,カーフ
10384,12,カード入れ 1
10384,6,日本
10384,9,縦×横 約6.5×11cm
10407,0,ハンドル:メイプル<br>生地:ナイロン
10407,25,メタル
10407,26,1年間
10407,4,製品保証書<br>ギフト用リボン付カバー
10407,6,英国
10407,9,全長 収納時 47cm／使用時 74cm<br>パラソル直径 103cm
10408,0,ハンドル:マラッカ<br>生地:ナイロン
10408,25,メタル
10408,26,1年間
10408,4,製品保証書<br>ギフト用リボン付カバー
10408,6,英国
10408,9,全長:収納時44cm 使用時71cm<br />パラソル直径:103cm
10409,0,ハンドル:ワンギー(竹の根)<br>生地:ナイロン
10409,25,メタル
10409,26,1年間
10409,4,製品保証書<br>ギフト用リボン付カバー
10409,6,英国
10409,9,全長 収納時 46cm／使用時 73cm<br>パラソル直径 103cm
10578,0,型押しカーフレザー<br>真鍮(ニッケルめっき)
10578,6,日本
10578,9,幅×厚さ 3×0.5cm<br>ホール数 5穴<br>ホール間隔 2.2cm<br>バックル 縦×横 3.5×4cm
10579,0,型押しカーフレザー<br>洋白合金
10579,6,日本
10579,9,幅×厚さ 3×0.4cm<br>バックル 縦×横 4.5×4cm
10581,0,コードバン
10581,12,コインケース1<br>ポケット1
10581,6,日本
10581,9,縦×横 7×7.5cm
10582,0,外側:コードバン(馬革)<br />内側:牛革
10582,12,カード入れ3<br>札入れ2<br>コインケース1<br>ポケット3
10582,6,日本
10582,9,縦×横 9.5×11.5cm
10583,0,外側 コードバン(馬革)<br />内側 牛革
10583,12,カード入れ8<br>札入れ1<br>スリット1<br>ポケット2
10583,6,日本
10583,9,縦×横 18.3×9.5cm
10584,0,外側:コードバン(馬革)<br />内側:牛革
10584,6,日本
10584,9,縦×横 7.3×11cm
10586,0,コードバン
10586,6,日本
10586,9,縦×横 3×8.5cm
10588,0,本体:コードバン(馬革)<br />ストラップ:牛革
10588,12,IDカード入れ1<br>カードポケット1
10588,6,日本
10588,9,縦×横 7.8×10cm<br>ストラップの長さ 43cm
10589,0,コードバン
10589,6,日本
10589,9,縦×横 12.5×1cm
10592,0,プラスチック
10592,9,長さ 約9.5cm(閉じた状態)<br>歯長1.2cm
10595,0,毛:黒豚毛／白豚毛<br>柄:マホガニー(ダンタ)
10595,27,カシミア／ウール製品
10595,9,縦×横 約21.5×3.3cm<br>毛の長さ 2.1cm
10597,0,毛:黒豚毛<br>柄:サクラ
10597,27,ウール製品
10597,9,縦×横 約27×5.7cm<br>毛の長さ 1.6／1.3cm
10598,0,毛:白豚毛<br>柄:サクラ
10598,27,カシミア／ウール製品
10598,9,縦×横 約22×5cm<br>毛の長さ 2.2-3cm
10599,0,毛:黒豚毛／白豚毛<br>柄:サクラ
10599,27,カシミア／ウール製品
10599,9,縦×横 約27.5×5.3cm<br>毛の長さ 3.3cm
10600,0,プラスチック
10600,9,長さ 約11.3cm<br>歯長1.6cm
10601,0,プラスチック
10601,9,長さ 約12cm<br>歯長1.4cm
10622,0,型押しレザー
10622,12,カード入れ 4<br>札入れ 2<br>コインケース 1<br>ポケット 2
10622,6,イタリア
10622,9,縦×横 約9×11cm
10624,0,型押しレザー
10624,12,コインケース 2<br>ポケット 1
10624,6,イタリア
10624,9,縦×横 約7×7.8cm
10646,0,ポリエステル樹脂
10646,6,イタリア
10646,9,幅×厚さ 約40×5.3cm
10648,0,ポリエステル樹脂
10648,6,イタリア
10648,9,幅 約40cm
10689,4,オロビアンコ布袋
10689,6,日本
10699,0,リモンタ社製ナイロン 牛革
10699,4,オロビアンコ布袋
10699,6,イタリア
10699,9,幅×高さ×マチ 約10×4×3.5cm
10707,0,リモンタ社製ナイロン 牛革
10707,12,ピン挿し 3
10707,4,オロビアンコ布袋
10707,6,イタリア
10707,9,縦×直径 約14×5cm
10723,0,レザー
10723,4,オロビアンコ布袋
10723,48,ORPA-001
10723,9,幅×高さ 約6.8×10cm
10724,0,レザー
10724,4,オロビアンコ布袋
10724,48,ORPA-002
10724,6,日本
10724,9,幅×高さ 約10.8×7.6cm
10744,0,コットン70% ナイロン30%
10744,22,踵から口ゴムまでの高さ約28cm
10744,5,洗濯機洗い
10744,6,英国
10744,9,メーカー表示 S<br />着用感 25-27cm<br /><br />メーカー表示 M<br />着用感 26.5-27.5cm
10745,0,コットン70% ナイロン30%
10745,22,踵から口ゴムまでの高さ約46cm
10745,5,洗濯機洗い
10745,6,英国
10745,9,メーカー表示 S<br />着用感 25-27cm<br /><br />メーカー表示 M<br>着用感 26.5-27.5cm
10775,0,綿 アクリル その他
10775,22,踵からの高さ約30cm
10775,6,日本
10775,9,25-26cm
11022,0,表 カーフ<br>裏 ぬめ皮<br>真鍮(ニッケルめっき)
11022,6,英国
11022,9,幅×厚さ 3×0.25cm<br>ホール数 5穴<br>ホール間隔 2.5cm<br>バックル 縦×横 3.6×5.3cm
11023,0,ブライドルレザー<br>真鍮(ニッケルめっき)
11023,6,英国
11023,9,幅×厚さ 2.8×0.4cm<br>ホール数 5穴<br>ホール間隔 2.5cm<br>バックル 縦×横 4×4.5cm
11024,0,ブライドルレザー<br>真鍮(ニッケルめっき)
11024,6,英国
11024,9,幅×厚さ 2.8×0.3cm<br>ホール数 5穴<br>ホール間隔 2.5cm<br>バックル 縦×横 4×4.5cm
11025,0,ブライドルレザー<br>真鍮(シルバーめっき)
11025,6,英国
11025,9,幅×厚さ 3.2×0.25cm<br>ホール数 5穴<br>ホール間隔 2.5cm<br>バックル 縦×横 4.4×4.7cm
11026,0,フルグレイン カウハイド<br>真鍮(クロームめっき)
11026,6,英国
11026,9,幅×厚さ 3.2×0.6cm<br>バックル 縦×横 4.3×4.7cm
11028,0,ブライドルレザー
11028,12,札入れ1<br>コインケース1<br>カード入れ3<br>ポケット5
11028,6,英国
11028,9,縦×横 約12cm×10cm(閉じた状態)
11030,0,ブライドルレザー
11030,6,英国
11030,9,縦×横 約7cm×7cm(閉じた状態)
11031,0,ブライドルレザー
11031,10,1
11031,19,1
11031,6,英国
11031,9,縦×横 約7.5cm×8cm(閉じた状態)
11032,0,ブライドルレザー
11032,12,カード入れ 4<br>札入れ 2<br>コインケース 1<br>ポケット 2
11032,6,英国
11032,9,縦×横 約10cm×11cm(閉じた状態)
11033,0,ブライドルレザー
11033,12,カード入れ 5<br>札入れ 1<br>コインケース 1<br>ポケット 3
11033,6,英国
11033,9,約14×9.5cm(閉じた状態)
11038,0,ブライドルレザー
11038,12,カード入れ 8<br>札入れ 1<br>ジッパー付きコインケース 1<br>ポケット 3
11038,6,英国
11038,9,約17.5cm×9cm(閉じた状態)
11042,0,フルグレイン カウハイド
11042,6,英国
11042,9,全長 約13cm<br>リング部 直径 約3cm
11043,0,ブライドルレザー
11043,6,英国
11043,9,革部 約5×4.5cm<br>リング部直径 約2.5cm
11049,0,ブライドルレザー
11049,6,英国
11049,9,縦×横 約11.5cm×8cm(閉じた状態)
11050,0,ブライドルレザー
11050,6,英国
11050,9,縦×横 約8.5cm×4.5cm<br>(縮めた状態)
11051,0,ブライドルレザー
11051,6,英国
11051,9,縦×横 約7.5cm×16.5cm(閉じた状態)
11052,0,ブライドルレザー
11052,12,ジッパー付ポケット1<br>ポケット1<br>カード入れ3<br>ペン挿し1
11052,4,スタンダード・リフィルセット(見開き1週間ダイアリー／ノート／アドレス帳／世界地図／カードケース／定規／他)<br>予告なく変わる場合がございます。
11052,6,英国
11052,9,約20cm×14.5cm(閉じた状態)<br>バイブルサイズ6穴<br>リング内径 約2.5cm<br>リフィル 約17.5×10cm
11053,0,ブライドルレザー
11053,12,ポケット3<br>カード入れ4
11053,4,スタンダード・リフィルセット(見開き1週間ダイアリー／ノート／To Do LiSt／世界地図／他)<br>予告なく変わる場合がございます。
11053,6,英国
11053,9,約15.5cm×10.6cm(閉じた状態)<br>ポケットサイズ・ミニ6穴<br>リング内径 約1.6cm<br>リフィル 約12.6×7.6cm
11055,0,ブラシ上部:ブライドルレザー<br>ブラシ:馬の髪の毛
11055,6,英国
11055,9,縦×横×高さ 約4cm×15cm×4cm
11056,0,ブライドルレザー
11056,6,英国
11056,9,縦×横 約16.5cm×11.5cm(閉じた状態)
11057,0,ブライドルレザー
11057,6,英国
11057,9,縦×横 約8.5cm×11.5cm
11060,0,ブライドルレザー
11060,12,キーハンガー6<br />リング1<br />ポケット1
11060,6,英国
11060,9,約11.5cm×6.5cm(閉じた状態)
11062,0,ホホバオイル他
11062,6,英国
11063,0,ミツバチのワックス他
11063,6,英国
11067,0,フルグレイン カウハイド
11067,6,英国
11067,9,全長 約39cm
11087,0,バリスティックナイロン
11087,33,スナップ式ポケット1 ファスナー式ポケット3 ポケット2 その内側に着脱式キーホルダー1
11087,34,ポケット3
11087,6,米国
11087,9,幅×高さ×マチ 約33×25×13cm
11149,0,ブライドルレザー
11149,12,ストラップ穴 5
11149,18,2
11149,6,英国
11149,9,本体:縦×横 約8.5cm×10.5cm<br>ストラップの長さ:40～46cm
11293,0,型押しレザー
11293,12,コインケース 1<br />ポケット 3<br />札入れ 1<br />ウォレットチェーン用リング 1
11293,6,イタリア
11293,9,縦×横 約7.5×9.8cm
11294,0,牛革
11294,12,札入れ1<br>ポケット2<br>カード入れ5
11294,6,イタリア
11294,9,縦×横 約9.5×8.5cm(閉じた状態)
11297,0,牛革
11297,12,名刺入れ3<br>ポケット1
11297,6,イタリア
11297,9,縦×横 約7.5×10.5cm
11382,0,ブライドルレザー
11382,12,ライトブラウン仕様 ジッパー付ポケット1<br>ポケット1<br>カード入れ3<br>ペン挿し1
11382,4,スタンダード・リフィルセット(見開き1週間ダイアリー／ノート／To Do LiSt／世界地図／他)<br>予告なく変わる場合がございます。
11382,6,英国
11382,9,約20cm×14.5cm(閉じた状態)<br>バイブルサイズ6穴<br>リング内径 約2.5cm<br>リフィル 約17.1×9.5cm
11435,0,牛革
11435,12,コインケース2 ポケット2
11435,48,FRO325228
11435,6,日本
11435,9,縦×横×マチ：6×10×3.5cm
11437,0,カーフ
11437,12,札入れ1<br>カード入れ2
11437,6,日本
11437,9,縦×横 約9×9.5cm
11443,0,外側:リザード<br>内側:カーフ
11443,12,札入れ1<br>カード入れ2
11443,6,日本
11443,9,縦×横 約9×9.5cm
11446,0,表地:ウール80% ナイロン20%<br>裏地:ポリエステル100%
11446,12,外側:ポケット2<br />内側:ポケット1
11446,5,ドライクリーニング
11446,6,米国
11448,0,ブライドルレザー
11448,12,名刺入れ1<br>ポケット2
11448,9,約11cm×8cm(閉じた状態)
11463,0,ウール100%
11463,5,ドライクリーニング
11463,6,フランス
11510,0,表：牛革　内側：豚革
11510,12,ポケット2
11510,38,約0.5kg
11510,4,シセイ布袋
11510,6,イタリア
11510,9,幅×高さ×マチ 約36×26×2cm
11521,0,バリスティックナイロン
11521,33,大型ファスナー式ポケット1<br>ファスナー式ポケット2<br>その片方の内側に着脱可能キーリング 1
11521,34,大型ファスナー式ポケット2<br>ファスナー式ポケット2
11521,6,米国
11521,9,幅×高さ×マチ 約46×30×10cm
11531,0,牛革 スムースレザー Venacalf
11531,11,約0.7kg
11531,12,内側:カードポケット1
11531,4,シャンボール布袋
11531,48,CH.813
11531,6,フランス
11531,9,幅×高さ×マチ 約40×28×2cm
11562,0,バリスティックナイロン
11562,11,約1.2kg
11562,33,前面:ファスナー式ポケット2 背面:ボタン式ポケット1
11562,34,ファスナー式ポケット3 ポケット4 ペン挿し2 着脱式キーホルダー1
11562,6,米国
11562,9,幅×高さ×マチ 約46×46×6cm
11641,0,リネン100%
11641,6,イタリア
11641,9,縦×横 約 30×30cm
11648,0,コットン100%
11648,5,洗濯機弱洗い ドライクリーニング不可
11648,6,中国
11754,0,バリスティックナイロン
11754,33,前面左:ファスナー式ポケット1 着脱式キーホルダー1 ポケット7<br />前面右:ファスナー式ポケット1 ボタン式ポケット1<br />背面:ボタン式ポケット1 スーツケース装着用ベルト1
11754,34,前方荷室:仕切り1 ポケット2<br />後方荷室:ポケット3
11754,6,米国
11754,9,幅×高さ×マチ 約46×32×15cm
11755,0,バリスティックナイロン
11755,33,前面:ファスナー式ポケット3 着脱式キーホルダー1 ポケット3<br />背面:ボタン式ポケット1
11755,34,ファスナー式ポケット1
11755,6,米国
11755,9,幅×高さ×マチ 約44×30×8cm
11756,0,バリスティックナイロン
11756,33,前面:ファスナー式ポケット3 ポケット2<br />背面:ボタン式ポケット1 スーツケース装着用ベルト1
11756,34,着脱式キーホルダー1<br />ボタン式ポケット1<br />マジックテープ式PC用スペース1<br />ポケット4
11756,6,米国
11756,9,幅×高さ×マチ 約42×30×6cm
11757,0,コーデュラナイロン
11757,34,着脱式キーホルダー1<br />ファスナー式ポケット1
11757,6,米国
11757,9,幅×高さ×マチ 約40×15×15.5cm
11830,0,バリスティックナイロン
11830,11,約0.8kg
11830,33,バックル式ポケット2<br />ボタン式ポケット1
11830,34,ファスナー式ポケット1<br />ポケット4<br />着脱式キーホルダー1
11830,6,米国
11830,9,幅×高さ×マチ:約35×23×7cm
11863,0,牛革(シューレザー)
11863,11,重さ約0.6kg
11863,12,ポケット1<br />ファスナー式ポケット1
11863,4,タスティング布袋
11863,6,英国
11863,9,幅×高さ×マチ 約40×30×20cm<br />(ハンドルを除く本体)
11906,0,型押しレザー
11906,12,札ばさみ2<br />ポケット2
11906,6,イタリア
11906,9,縦×横:9.5×10.5cm
11934,0,ラム革 牛革
11934,12,外側仕様:ファスナー式ポケット2<br />内側仕様:ファスナー式ポケット1 キーリング1
11934,38,0.9kg
11934,4,ムータ布袋
11934,6,中国
11934,9,幅×高さ×マチ 44×42.5×15.5cm
11979,0,バリスティックナイロン
11979,11,2.8kg
11979,12,本体:ファスナー式ポケット4 ドリンク用ファスナー式ポケット1  フタ収納用ファスナー式ポケット1 リング1<br />ポーチ:ティー挿し6 ポケット1 フック1
11979,51,この商品はギフトサービスに対応しておりません。
11979,6,本体:中国<br />付属ポーチ:アメリカ
11979,9,本体:横×縦×幅:36×86×36cm<br />ポーチ:横×縦×幅:12×12×4.5cm
12023,0,ウール80% ナイロン20%<br />皮革部分：牛革
12023,12,外側:ポケット2
12023,5,水洗い不可 ドライクリーニング
12023,6,英国
12024,0,表地:ウール80% ナイロン20%<br />裏地:アセテート100%
12024,12,外側:ポケット2<br />内側:ポケット1
12024,5,ドライクリーニング
12024,6,英国
12030,0,表地:ウール80% ナイロン20%<br />裏地:アセテート100%
12030,4,ピンバッジ2個
12030,5,ドライクリーニング
12030,6,アメリカ
12031,0,表地:ウール80% ナイロン15% アセテート5%<br />裏地:アセテート100%
12031,4,ピンバッジ2個
12031,5,ドライクリーニング
12031,6,アメリカ
12033,0,ウール80% ナイロン20%
12033,4,ピンバッジ2個
12033,5,ドライクリーニング
12033,6,アメリカ
12034,0,表地：ウール80% ナイロン20% または ウール80% ナイロン15% アクリル5%<br />裏地:アセテート100%<br />リブ部分:アクリル70% ウール30%
12034,12,外側:フラップ付きボタン式ポケット2<br>内側:ポケット1
12034,4,ピンバッジ2個
12034,5,ドライクリーニング
12034,6,米国
12135,0,コーデュラナイロン
12135,12,ファスナー式ポケット1<br />ファスナー式メッシュポケット1<br />ポケット2<br />壁掛け用フック1
12135,6,米国
12135,9,幅×高さ×マチ 約25×19×9cm
12136,0,バリスティックナイロン
12136,33,ファスナー式ポケット2<br />ポケット4<br />着脱式キーホルダー1
12136,34,ファスナー式ポケット1<br />ポケット1
12136,6,米国
12136,9,幅×高さ×マチ 約30×45×13cm
12137,0,バリスティックナイロン
12137,33,ファスナー式ポケット1<br />ポケット2<br />着脱式キーホルダー1
12137,34,ファスナー式ポケット2
12137,6,米国
12137,9,幅×高さ×マチ 約36×23×10cm
12139,0,バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
12139,33,リング1<br />ファスナー式コインケース1
12139,34,札入れ1<br />ファスナー式ポケット1<br />カード入れ3<br />ビニールポケット1
12139,6,米国
12139,9,縦×横×マチ:約11×15×3cm
12140,0,バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
12140,12,ファスナー式メッシュポケット2<br />ポケット6<br />カード入れ4<br />ペン挿し1
12140,6,米国
12140,9,幅×高さ×マチ 約25.5×12×3cm
12141,0,バリスティックナイロン<br />ウッドランドカモのみコーデュラナイロン
12141,33,ファスナー式ポケット1<br />リング1
12141,34,パスポート入れ1<br />ファスナー式メッシュポケット1<br />ファスナー式札入れ1<br />ポケット1<br />カード入れ4<br />札入れ1
12141,6,米国
12141,9,幅×高さ×マチ 約16×12×1cm
12171,0,ウール100%
12171,5,ドライクリーニング
12171,6,イタリア
12171,9,全長:147cm<br />大剣幅:8.5cm<br />小剣幅:5cm
12284,0,カシミア100%
12284,5,ドライクリーニング
12284,6,スコットランド
12284,9,全長:204cm(フリンジを含む)<br />幅:72cm
12327,0,レザー
12327,12,キーリング大1<br />キーリング小3
12327,6,イタリア
12327,9,全長:約50cm<br />キーリング大 直径:約2.5cm
12351,0,レザー メタル
12351,4,オロビアンコ布袋
12351,48,OBCS-004
12351,6,イタリア
12351,9,縦×横×厚さ 約9.5×6×1cm
12352,0,レザー メタル
12352,4,オロビアンコ布袋
12352,48,OBGC-004
12352,6,イタリア
12352,9,約15×6×4cm
12364,0,型押しレザー
12364,12,コインケース1<br />札入れ1<br />カード入れ4
12364,6,イタリア
12364,9,縦×横 8.5×9.5cm
12366,0,レザー×リモンタ社製ナイロン
12366,33,ファスナー式ポケット1<br />ポケット4
12366,34,ファスナー式ポケット1<br />ポケット1<br />携帯用ポケット1<br />フック1
12366,38,約0.9kg
12366,4,オロビアンコ布袋
12366,6,イタリア
12366,9,幅×高さ×マチ 約42×30.5×9cm
12377,0,アッパー:コットン100%<br>ソール:ゴム100%
12377,6,スペイン
12460,0,表：牛革　内側：豚革
12460,11,約0.3kg
12460,12,ペン挿し1
12460,4,シセイ布袋
12460,6,イタリア
12460,9,幅×高さ×マチ 約30.5×16.5×2.5cm
12469,0,コットン100%
12469,5,手洗い ドライクリーニング
12469,6,ルーマニア
12473,0,コットン82%<br />リネン18%
12473,5,手洗い ドライクリーニング
12473,6,ルーマニア
12521,0,コットン100%
12521,1,ボタンダウン
12521,2,シングルカフ
12521,5,手洗い ドライクリーニング
12521,6,イタリア
12523,0,コットン100%
12523,5,手洗い ドライクリーニング不可
12523,6,ルーマニアまたはイタリア
12527,0,コットン100%
12527,5,洗濯機弱洗い ドライクリーニング
12527,6,フランス
12555,0,コットンキャンバス<br />ブライドルレザー
12555,11,0.8kg
12555,12,外側:ポケット2<br />内側:ボタン式ポケット2
12555,4,ホワイトハウスコックス布袋
12555,6,英国
12555,9,幅×高さ×マチ:約36×37×17.5cm
12576,0,牛革(シューレザー)
12576,11,約0.7kg
12576,12,内側:ファスナー式ポケット1 ポケット1
12576,4,タスティング布袋
12576,6,英国
12576,9,幅×高さ×マチ 約45×31×10cm
12578,0,リップストップナイロン
12578,11,約0.2kg
12578,6,米国
12578,9,幅×高さ×マチ 約39×27.5×3cm
12618,0,牛革 シボレザー Lagun
12618,11,約1.2kg
12618,12,ファスナー式ポケット1
12618,4,シャンボール布袋
12618,48,CH.510
12618,6,フランス
12618,9,幅×高さ×マチ:約39×32×15cm
12624,0,表地:コットン100%<br />裏地:コットン100%<br />ドリップストリップ部分:ナイロン100%<br />リブ:アクリル86% ポリウレタン14%<br />コーデュロイ部分:コットン100%
12624,33,ポケット2<br />ボタン式ポケット2
12624,34,マジックテープ式ポケット1
12624,4,barbourロゴピンバッジ
12624,5,洗濯不可
12624,6,英国
12633,0,表：牛革　ライニング：豚革
12633,11,約1.2kg
12633,12,ポケット2<br />ファスナー式ポケット1
12633,4,シセイ布袋
12633,6,イタリア
12633,9,幅×高さ×マチ:約44×32×19cm
12635,0,牛革
12635,43,2.8×0.3cm
12635,44,5
12635,45,縦×横:3.5×5cm
12635,46,2.5cm
12635,6,イタリア
